"Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue","issue","MissingPercentage","ImputationPercentage","accession","Code1","Annotation","Code2","Species","BiologicalProcess","GOTerms","Pathway","ProteinCode"
"CHOYP_1433Z.1.1|m.17045","Eelgrass-Bare",0.506301247638788,0.566463409520536,0.893793383878634,16,0.384679898112678,0.942060864972504,NA,0,0,"sp|Q2F637|1433Z_BOMMO","1433Z_BOMMO","14-3-3 protein zeta","14-3-3zeta","Bombyx mori (Silk moth)","0","GO:0005737","0","PF00244;"
"CHOYP_LOC100375820.1.1|m.62640","Eelgrass-Bare",-0.927101297861772,0.442696091427606,-2.09421613566105,15,0.0536355205096086,0.786895644121482,NA,0.05,0,"sp|Q924T7|RNF31_MOUSE","RNF31_MOUSE","E3 ubiquitin-protein ligase RNF31 (EC 6.3.2.-) (HOIL-1-interacting protein) (HOIP) (Putative Ariadne-like ubiquitin ligase) (PAUL) (RING finger protein 31)","Rnf31 Paul","Mus musculus (Mouse)","CD40 signaling pathway [GO:0023035]; negative regulation of necroptotic process [GO:0060546]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of protein targeting to mitochondrion [GO:1903955]; protein linear polyubiquitination [GO:0097039]; protein polyubiquitination [GO:0000209]; protein ubiquitination [GO:0016567]; T cell receptor signaling pathway [GO:0050852]","GO:0000209; GO:0004842; GO:0005829; GO:0008270; GO:0009898; GO:0016567; GO:0016874; GO:0023035; GO:0031625; GO:0035631; GO:0043123; GO:0043130; GO:0050852; GO:0051092; GO:0060546; GO:0071797; GO:0097039; GO:1903955","0","PF16678;PF01485;PF09409;"
"CHOYP_LOC100375888.1.1|m.18951","Eelgrass-Bare",-0.614093856629632,0.413100206182556,-1.48654938302852,16,0.15657314699285,0.854358147564395,NA,0.0166666666666667,0.0166666666666667,"sp|Q8K370|ACD10_MOUSE","ACD10_MOUSE","Acyl-CoA dehydrogenase family member 10 (ACAD-10) (EC 1.3.99.-)","Acad10","Mus musculus (Mouse)","fatty acid beta-oxidation using acyl-CoA dehydrogenase [GO:0033539]; lipid homeostasis [GO:0055088]","GO:0000062; GO:0003995; GO:0005739; GO:0009055; GO:0016787; GO:0033539; GO:0050660; GO:0052890; GO:0055088","0","PF00441;PF02770;PF02771;PF01636;PF13419;"
"CHOYP_LOC100375913.1.1|m.9170","Eelgrass-Bare",0.492643653148639,0.630224910210386,0.781694987245397,16,0.445807854843026,0.954104759475036,NA,0.0166666666666667,0.0166666666666667,"sp|Q0IHI3|CATIP_XENLA","CATIP_XENLA","Ciliogenesis-associated TTC17-interacting protein","catip","Xenopus laevis (African clawed frog)","actin filament polymerization [GO:0030041]; cilium organization [GO:0044782]","GO:0005634; GO:0005737; GO:0005886; GO:0015629; GO:0030041; GO:0044782","0","0"
"CHOYP_LOC100376049.1.1|m.10489","Eelgrass-Bare",-0.523876497333681,0.868854021745322,-0.602951110568997,15,0.555548655602819,0.979591620635068,NA,0.05,0,"sp|Q5VWJ9|SNX30_HUMAN","SNX30_HUMAN","Sorting nexin-30","SNX30","Homo sapiens (Human)","endocytosis [GO:0006897]; protein transport [GO:0015031]; vesicle organization [GO:0016050]","GO:0005768; GO:0006897; GO:0015031; GO:0016050; GO:0019898; GO:0035091","0","PF03114;PF00787;"
"CHOYP_LOC100376096.1.1|m.62366","Eelgrass-Bare",-0.544716027631233,0.71978905831864,-0.756771753246206,16,0.460185976765661,0.96019895806595,NA,0,0,"sp|A1A4V9|CC189_HUMAN","CC189_HUMAN","Coiled-coil domain-containing protein 189","CCDC189 C16orf93","Homo sapiens (Human)","0","0","0","PF14769;"
"CHOYP_LOC100376142.1.1|m.18172","Eelgrass-Bare",-0.821572663414867,0.945657316206588,-0.868784758849565,15,0.398652836604914,0.942060864972504,NA,0.05,0,"sp|P87498|VIT1_CHICK","VIT1_CHICK","Vitellogenin-1 (Minor vitellogenin) (Vitellogenin I) [Cleaved into: Lipovitellin-1 (Lipovitellin I) (LVI); Phosvitin (PV); Lipovitellin-2 (Lipovitellin II) (LVII); YGP42]","VTG1 VTGI","Gallus gallus (Chicken)","0","GO:0005319; GO:0045735","0","PF09172;PF09175;PF01347;PF00094;"
"CHOYP_LOC100376151.1.1|m.21094","Eelgrass-Bare",1.67310129807656,2.56572505054952,0.65209687909397,16,0.523596871263748,0.975196210915423,NA,0,0,"sp|Q7Z5K2|WAPL_HUMAN","WAPL_HUMAN","Wings apart-like protein homolog (Friend of EBNA2 protein) (WAPL cohesin release factor)","WAPL FOE KIAA0261 WAPAL","Homo sapiens (Human)","cell division [GO:0051301]; meiotic chromosome segregation [GO:0045132]; mitotic sister chromatid cohesion [GO:0007064]; negative regulation of chromatin binding [GO:0035562]; negative regulation of DNA replication [GO:0008156]; negative regulation of sister chromatid cohesion [GO:0045875]; positive regulation of fibroblast proliferation [GO:0048146]; protein localization to chromatin [GO:0071168]; regulation of chromosome condensation [GO:0060623]; regulation of cohesin loading [GO:0071922]; response to toxic substance [GO:0009636]; sister chromatid cohesion [GO:0007062]; viral process [GO:0016032]","GO:0000775; GO:0000785; GO:0000795; GO:0000798; GO:0005634; GO:0005654; GO:0005694; GO:0005737; GO:0005829; GO:0007062; GO:0007064; GO:0008156; GO:0008278; GO:0009636; GO:0015630; GO:0016032; GO:0035562; GO:0043231; GO:0045132; GO:0045875; GO:0048146; GO:0051301; GO:0060623; GO:0071168; GO:0071922","0","PF07814;"
"CHOYP_LOC100376162.1.1|m.48261","Eelgrass-Bare",0.999668738363795,0.733790185332515,1.36233593518398,16,0.1919630924982,0.86344556610781,NA,0,0,"sp|P39098|MA1A2_MOUSE","MA1A2_MOUSE","Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB (EC 3.2.1.113) (Mannosidase alpha class 1A member 2) (Processing alpha-1,2-mannosidase IB) (Alpha-1,2-mannosidase IB)","Man1a2 Man1b","Mus musculus (Mouse)","glycoprotein metabolic process [GO:0009100]; lung alveolus development [GO:0048286]; N-glycan processing [GO:0006491]; respiratory gaseous exchange [GO:0007585]","GO:0000139; GO:0004571; GO:0005509; GO:0005783; GO:0005794; GO:0006491; GO:0007585; GO:0009100; GO:0016020; GO:0016021; GO:0048286; GO:0070062","PATHWAY: Protein modification; protein glycosylation. {ECO:0000250|UniProtKB:P32906}.","PF01532;"
"CHOYP_LOC100376265.3.4|m.22693","Eelgrass-Bare",0.0579002980814363,1.01110802241086,0.057264205997872,15,0.955090595826494,0.99983025867803,NA,0.05,0,"sp|B5X3C1|GALC_SALSA","GALC_SALSA","Galactocerebrosidase (GALCERase) (EC 3.2.1.46) (Galactosylceramidase)","galc","Salmo salar (Atlantic salmon)","carbohydrate metabolic process [GO:0005975]; galactosylceramide catabolic process [GO:0006683]","GO:0004336; GO:0005764; GO:0005975; GO:0006683","0","PF02057;"
"CHOYP_LOC100376289.1.1|m.60023","Eelgrass-Bare",0.496135888057762,0.409033415011952,1.2129470841478,16,0.242754898545286,0.872936622060819,NA,0.00555555555555554,0.00555555555555556,"sp|Q5RHH4|IF172_DANRE","IF172_DANRE","Intraflagellar transport protein 172 homolog","ift172 si:dkey-221h15.5","Danio rerio (Zebrafish) (Brachydanio rerio)","cilium assembly [GO:0042384]; cilium morphogenesis [GO:0060271]; photoreceptor cell maintenance [GO:0045494]; pronephros development [GO:0048793]; regulation of TOR signaling [GO:0032006]; retina development in camera-type eye [GO:0060041]","GO:0005929; GO:0005930; GO:0030992; GO:0032006; GO:0036064; GO:0042384; GO:0045494; GO:0048793; GO:0060041; GO:0060271","0","0"
"CHOYP_LOC100376442.1.1|m.40651","Eelgrass-Bare",0.568335914989434,0.944248748296276,0.601892156081638,16,0.555679729781918,0.979591620635068,NA,0.125,0.125,"sp|A7S8T5|CCD42_NEMVE","CCD42_NEMVE","Coiled-coil domain-containing protein 42 homolog","v1g187067","Nematostella vectensis (Starlet sea anemone)","0","0","0","PF13863;"
"CHOYP_LOC100376457.1.2|m.11537","Eelgrass-Bare",-1.19418039341597,1.6540117297428,-0.721990280928462,11,0.485365699195407,0.967872444534173,NA,0.25,0,"sp|O73888|HPGDS_CHICK","HPGDS_CHICK","Hematopoietic prostaglandin D synthase (H-PGDS) (EC 5.3.99.2) (GST class-sigma) (Glutathione S-transferase) (EC 2.5.1.18) (Glutathione-dependent PGD synthase) (Glutathione-requiring prostaglandin D synthase) (Prostaglandin-H2 D-isomerase)","HPGDS GSTS PGDS PTGDS2","Gallus gallus (Chicken)","negative regulation of male germ cell proliferation [GO:2000255]; prostaglandin biosynthetic process [GO:0001516]; prostaglandin metabolic process [GO:0006693]","GO:0000287; GO:0001516; GO:0004364; GO:0004667; GO:0005509; GO:0005737; GO:0006693; GO:2000255","0","PF14497;PF02798;"
"CHOYP_LOC100376457.2.2|m.51737","Eelgrass-Bare",-1.19370054461133,0.333996052317428,-3.57399596890099,16,0.00253470571535797,0.546465247651553,NA,0.03,0.03,"sp|P18426|SCR11_NOTSL","SCR11_NOTSL","S-crystallin SL11 (Major lens polypeptide)","0","Nototodarus sloanii (Wellington flying squid) (Ommastrephes sloanei)","0","GO:0005212","0","PF14497;PF02798;"
"CHOYP_LOC100376608.3.4|m.51379","Eelgrass-Bare",-0.62272141867507,0.694392135962064,-0.896786392622814,16,0.383128160496244,0.942060864972504,NA,0,0,"sp|Q6ZRF8|RN207_HUMAN","RN207_HUMAN","RING finger protein 207","RNF207 C1orf188","Homo sapiens (Human)","cell-cell signaling involved in cardiac conduction [GO:0086019]; positive regulation of delayed rectifier potassium channel activity [GO:1902261]; positive regulation of gene expression [GO:0010628]; positive regulation of voltage-gated potassium channel activity involved in atrial cardiac muscle cell action potential repolarization [GO:1903954]; positive regulation of voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization [GO:1903762]; regulation of cardiac muscle contraction [GO:0055117]; regulation of heart looping [GO:1901207]","GO:0008270; GO:0010628; GO:0030544; GO:0044325; GO:0048471; GO:0051087; GO:0055117; GO:0086019; GO:1901207; GO:1902261; GO:1903762; GO:1903954","0","PF00643;PF00097;"
"CHOYP_LOC100376692.1.1|m.55900","Eelgrass-Bare",0.378963870118981,0.592210844172326,0.639913763566117,16,0.53128579404857,0.978971703998295,NA,0,0,"sp|Q8IUS5|EPHX4_HUMAN","EPHX4_HUMAN","Epoxide hydrolase 4 (EC 3.3.-.-) (Abhydrolase domain-containing protein 7) (Epoxide hydrolase-related protein)","EPHX4 ABHD7 EPHXRP","Homo sapiens (Human)","0","GO:0016021; GO:0016787","0","PF00561;"
"CHOYP_LOC100376708.2.2|m.19660","Eelgrass-Bare",0.926211649138022,1.18510939646239,0.781541055958896,14,0.44750038523976,0.955136494618119,NA,0.1,0,"sp|P28668|SYEP_DROME","SYEP_DROME","Bifunctional glutamate/proline--tRNA ligase (Bifunctional aminoacyl-tRNA synthetase) [Includes: Glutamate--tRNA ligase (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS); Proline--tRNA ligase (EC 6.1.1.15) (Prolyl-tRNA synthetase) (ProRS)]","Aats-glupro CG5394","Drosophila melanogaster (Fruit fly)","glutamyl-tRNA aminoacylation [GO:0006424]; prolyl-tRNA aminoacylation [GO:0006433]","GO:0003723; GO:0004818; GO:0004827; GO:0005524; GO:0005737; GO:0006424; GO:0006433; GO:0017101","0","PF14497;PF03129;PF09180;PF00749;PF03950;PF00587;PF00458;"
"CHOYP_LOC100376772.1.1|m.10397","Eelgrass-Bare",0.401871557965439,0.665104310050662,0.604223355483635,16,0.554166970544141,0.979591620635068,NA,0,0,"sp|Q6DFC2|CCD77_XENLA","CCD77_XENLA","Coiled-coil domain-containing protein 77","ccdc77","Xenopus laevis (African clawed frog)","0","0","0","0"
"CHOYP_LOC100376802.2.2|m.60631","Eelgrass-Bare",2.44624949910197,1.26002332742384,1.94143191309277,8,0.0881511658263725,0.826917896950962,NA,0.4,0,"sp|O76537|PGRP_TRINI","PGRP_TRINI","Peptidoglycan recognition protein","PGRP","Trichoplusia ni (Cabbage looper)","innate immune response [GO:0045087]; peptidoglycan catabolic process [GO:0009253]","GO:0008270; GO:0008745; GO:0009253; GO:0045087","0","PF01510;"
"CHOYP_LOC100376807.1.1|m.22568","Eelgrass-Bare",0.895785817075381,0.518606395399759,1.72729419656478,16,0.10336507128296,0.835364477495249,NA,0,0,"sp|Q96DY2|IQCD_HUMAN","IQCD_HUMAN","IQ domain-containing protein D","IQCD","Homo sapiens (Human)","0","0","0","PF00612;"
"CHOYP_LOC100376827.1.1|m.60291","Eelgrass-Bare",-0.293762700506561,0.167337673645903,-1.75550845249697,16,0.0982955999237483,0.835364477495249,NA,0.00769230769230766,0.00769230769230769,"sp|Q5RBM1|RPN2_PONAB","RPN2_PONAB","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 (EC 2.4.99.18) (Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 63 kDa subunit) (Ribophorin II) (RPN-II) (Ribophorin-2)","RPN2","Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)","protein N-linked glycosylation [GO:0006487]","GO:0006487; GO:0008250; GO:0016021; GO:0016757","PATHWAY: Protein modification; protein glycosylation.","PF05817;"
"CHOYP_LOC100376863.1.1|m.65235","Eelgrass-Bare",-0.0633048220696253,0.325521848599128,-0.194471806860447,16,0.848254248323905,0.994769849747695,NA,0.00588235294117645,0.00588235294117647,"sp|Q04446|GLGB_HUMAN","GLGB_HUMAN","1,4-alpha-glucan-branching enzyme (EC 2.4.1.18) (Brancher enzyme) (Glycogen-branching enzyme)","GBE1","Homo sapiens (Human)","generation of precursor metabolites and energy [GO:0006091]; glycogen biosynthetic process [GO:0005978]; glycogen metabolic process [GO:0005977]","GO:0003844; GO:0004553; GO:0005829; GO:0005977; GO:0005978; GO:0006091; GO:0043169; GO:0070062","PATHWAY: Glycan biosynthesis; glycogen biosynthesis.","PF00128;PF02806;PF02922;"
"CHOYP_LOC100376932.1.1|m.12642","Eelgrass-Bare",-0.0928906241658126,0.177447907746967,-0.523481090001189,16,0.60781442005933,0.979591620635068,NA,0,0,"sp|Q63569|PRS6A_RAT","PRS6A_RAT","26S protease regulatory subunit 6A (26S proteasome AAA-ATPase subunit RPT5) (Proteasome 26S subunit ATPase 3) (Spermatogenic cell/sperm-associated Tat-binding protein homolog SATA) (Tat-binding protein 1) (TBP-1)","Psmc3 Tbp1","Rattus norvegicus (Rat)","ER-associated ubiquitin-dependent protein catabolic process [GO:0030433]; positive regulation of RNA polymerase II transcriptional preinitiation complex assembly [GO:0045899]","GO:0000932; GO:0005524; GO:0005737; GO:0008540; GO:0017025; GO:0022624; GO:0030433; GO:0031595; GO:0031597; GO:0036402; GO:0045899; GO:0048471","0","PF00004;"
"CHOYP_LOC100376984.1.1|m.15840","Eelgrass-Bare",0.166149399797986,0.458813466525947,0.362128428914782,16,0.72199456786449,0.98810540699643,NA,0,0,"sp|Q5U2Q3|CK054_RAT","CK054_RAT","Ester hydrolase C11orf54 homolog (EC 3.1.-.-)","0","Rattus norvegicus (Rat)","0","GO:0005634; GO:0008270; GO:0016788; GO:0070062","0","PF08925;"
"CHOYP_LOC100377001.1.2|m.10821","Eelgrass-Bare",0.680052568901262,1.22927138573202,0.553215975572633,14,0.588841434728707,0.979591620635068,NA,0.1,0,"sp|A2T7G9|HTAI2_PONPY","HTAI2_PONPY","Oxidoreductase HTATIP2 (EC 1.1.1.-)","HTATIP2","Pongo pygmaeus (Bornean orangutan)","angiogenesis [GO:0001525]; apoptotic process [GO:0006915]; cell differentiation [GO:0030154]","GO:0001525; GO:0005635; GO:0005737; GO:0006915; GO:0016620; GO:0030154; GO:0051287","0","PF13460;"
"CHOYP_LOC100377010.14.16|m.57915","Eelgrass-Bare",-1.05132146074423,0.710364175781711,-1.47997533742086,15,0.159575408986748,0.854358147564395,NA,0.05,0,"sp|D3ZAT9|FAXC_RAT","FAXC_RAT","Failed axon connections homolog","Faxc","Rattus norvegicus (Rat)","0","GO:0016021","0","PF17171;PF17172;"
"CHOYP_LOC100377034.1.1|m.6251","Eelgrass-Bare",-0.066570541251798,0.149969039711706,-0.44389522917377,16,0.663062924561963,0.9859855650512,NA,0.00681818181818183,0.00681818181818182,"sp|Q6GNL7|AL1L1_XENLA","AL1L1_XENLA","Cytosolic 10-formyltetrahydrofolate dehydrogenase (10-FTHFDH) (FDH) (EC 1.5.1.6) (Aldehyde dehydrogenase family 1 member L1)","aldh1l1","Xenopus laevis (African clawed frog)","10-formyltetrahydrofolate catabolic process [GO:0009258]; biosynthetic process [GO:0009058]; one-carbon metabolic process [GO:0006730]","GO:0005737; GO:0006730; GO:0009058; GO:0009258; GO:0016155; GO:0016620; GO:0016742","0","PF00171;PF02911;PF00551;"
"CHOYP_LOC100377058.1.1|m.22299","Eelgrass-Bare",0.460817213597341,0.404842789738884,1.13826212366178,16,0.27176868099138,0.890740349799184,NA,0,0,"sp|Q6ZRR9|DCDC5_HUMAN","DCDC5_HUMAN","Doublecortin domain-containing protein 5","DCDC5 KIAA1493","Homo sapiens (Human)","intracellular signal transduction [GO:0035556]","GO:0005622; GO:0035556","0","0"
"CHOYP_LOC100377089.1.2|m.5892","Eelgrass-Bare",-0.0959715390191832,0.993302549640372,-0.0966186375479757,16,0.924229145709381,0.994769849747695,NA,0,0,"sp|Q9U943|APLP_LOCMI","APLP_LOCMI","Apolipophorins [Cleaved into: Apolipophorin-2 (Apolipophorin II) (apoLp-2); Apolipophorin-1 (Apolipophorin I) (apoLp-1)]","0","Locusta migratoria (Migratory locust)","Wnt signaling pathway [GO:0016055]","GO:0005319; GO:0005576; GO:0008289; GO:0016055","0","PF08742;PF06448;PF09172;PF01347;PF00094;"
"CHOYP_LOC100377100.1.1|m.51994","Eelgrass-Bare",0.83054224811985,0.439690176295956,1.88892609590807,16,0.0771664710731814,0.823126197549099,NA,0,0,"sp|Q86WU2|LDHD_HUMAN","LDHD_HUMAN","Probable D-lactate dehydrogenase, mitochondrial (DLD) (Lactate dehydrogenase D) (EC 1.1.2.4)","LDHD","Homo sapiens (Human)","0","GO:0004458; GO:0005739; GO:0005743; GO:0050660","0","PF02913;PF01565;"
"CHOYP_LOC100377160.2.2|m.55835","Eelgrass-Bare",0.991828798282058,0.764600161335661,1.2971862267848,16,0.212960891758525,0.86344556610781,NA,0,0,"sp|P50867|CYSK_EMENI","CYSK_EMENI","Cysteine synthase 1 (CS 1) (EC 2.5.1.47) (O-acetylserine (thiol)-lyase 1) (OAS-TL 1) (O-acetylserine sulfhydrylase 1)","cysB cysE AN8057","Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans)","cellular amino acid biosynthetic process [GO:0008652]; cysteine biosynthetic process from serine [GO:0006535]","GO:0004124; GO:0005737; GO:0005739; GO:0006535; GO:0008652; GO:0016740; GO:0030170","PATHWAY: Amino-acid biosynthesis; L-cysteine biosynthesis; L-cysteine from L-serine: step 2/2. {ECO:0000305|PubMed:17482430}.","PF00291;"
"CHOYP_LOC100377184.1.1|m.16090","Eelgrass-Bare",0.00309424779946968,1.40299287288978,0.0022054622366658,16,0.998267561368576,0.99983025867803,NA,0,0,"sp|Q9DB15|RM12_MOUSE","RM12_MOUSE","39S ribosomal protein L12, mitochondrial (L12mt) (MRP-L12)","Mrpl12 Rpml12","Mus musculus (Mouse)","positive regulation of transcription, DNA-templated [GO:0045893]; transcription from mitochondrial promoter [GO:0006390]; translation [GO:0006412]","GO:0003735; GO:0005739; GO:0005761; GO:0005762; GO:0006390; GO:0006412; GO:0045893","0","PF00542;PF16320;"
"CHOYP_LOC100377195.2.2|m.61720","Eelgrass-Bare",-0.456214664864274,0.903736010593729,-0.50480965626738,16,0.620574122648895,0.979591620635068,NA,0,0,"sp|P86786|GIGA3_CRAGI","GIGA3_CRAGI","Gigasin-3a (Fragment)","0","Crassostrea gigas (Pacific oyster) (Crassostrea angulata)","0","0","0","0"
"CHOYP_LOC100377243.1.1|m.6500","Eelgrass-Bare",-0.0950074238876596,0.653030483000589,-0.145486966322174,16,0.886143470127228,0.994769849747695,NA,0.02,0.02,"sp|Q8T880|AXP83_CIOIN","AXP83_CIOIN","Axonemal 84 kDa protein (Ci-AXP83.9) (p83.9)","AXP83.9","Ciona intestinalis (Transparent sea squirt) (Ascidia intestinalis)","0","0","0","PF12366;PF15927;"
"CHOYP_LOC100377267.1.1|m.49876","Eelgrass-Bare",0.0229805231564586,0.655503874336419,0.03505779913158,16,0.972467303673507,0.99983025867803,NA,0,0,"sp|A2BG43|GLTP_DANRE","GLTP_DANRE","Glycolipid transfer protein (GLTP)","gltp si:dkey-234h16.2","Danio rerio (Zebrafish) (Brachydanio rerio)","0","GO:0005737; GO:0017089; GO:0051861","0","PF08718;"
"CHOYP_LOC100377362.1.1|m.10266","Eelgrass-Bare",-0.247055688084209,0.733785852313402,-0.336686360612321,16,0.740728973706255,0.99102183030446,NA,0.05,0.05,"sp|Q99LM2|CK5P3_MOUSE","CK5P3_MOUSE","CDK5 regulatory subunit-associated protein 3","Cdk5rap3","Mus musculus (Mouse)","apoptotic nuclear changes [GO:0030262]; cell proliferation [GO:0008283]; endoplasmic reticulum unfolded protein response [GO:0030968]; mitotic G2/M transition checkpoint [GO:0044818]; mitotic G2 DNA damage checkpoint [GO:0007095]; negative regulation of cellular protein catabolic process [GO:1903363]; negative regulation of MAP kinase activity [GO:0043407]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; negative regulation of protein kinase activity by regulation of protein phosphorylation [GO:0044387]; negative regulation of protein phosphorylation [GO:0001933]; negative regulation of protein serine/threonine kinase activity [GO:0071901]; positive regulation of protein localization to nucleus [GO:1900182]; positive regulation of protein ubiquitination [GO:0031398]; positive regulation of signal transduction by p53 class mediator [GO:1901798]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; protein ufmylation [GO:0071569]; regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0000079]; regulation of mitotic cell cycle [GO:0007346]; regulation of phosphatase activity [GO:0010921]","GO:0000079; GO:0001933; GO:0005634; GO:0005737; GO:0005813; GO:0005874; GO:0007095; GO:0007346; GO:0008283; GO:0010921; GO:0012505; GO:0016020; GO:0019901; GO:0030262; GO:0030332; GO:0030968; GO:0031398; GO:0032088; GO:0043234; GO:0043407; GO:0044387; GO:0044389; GO:0044818; GO:0045944; GO:0051019; GO:0051059; GO:0071569; GO:0071901; GO:0097371; GO:1900182; GO:1901798; GO:1903363","0","PF05600;"
"CHOYP_LOC100377364.2.2|m.52803","Eelgrass-Bare",-0.653407003775227,0.309900492118893,-2.10844132356056,16,0.0511093464077448,0.786895644121482,NA,0.0222222222222223,0.0222222222222222,"sp|Q9NRC6|SPTN5_HUMAN","SPTN5_HUMAN","Spectrin beta chain, non-erythrocytic 5 (Beta-V spectrin)","SPTBN5 BSPECV HUBSPECV HUSPECV","Homo sapiens (Human)","actin cytoskeleton organization [GO:0030036]; actin filament capping [GO:0051693]; axon guidance [GO:0007411]; ER to Golgi vesicle-mediated transport [GO:0006888]; Golgi organization [GO:0007030]; lysosomal transport [GO:0007041]; MAPK cascade [GO:0000165]; protein homooligomerization [GO:0051260]","GO:0000165; GO:0003779; GO:0005088; GO:0005737; GO:0005829; GO:0005875; GO:0006888; GO:0007030; GO:0007041; GO:0007411; GO:0008091; GO:0016020; GO:0019894; GO:0030036; GO:0030507; GO:0032029; GO:0032391; GO:0034452; GO:0043621; GO:0045179; GO:0045505; GO:0051260; GO:0051693; GO:0070062; GO:0097381","0","PF00307;PF00435;"
"CHOYP_LOC100377378.1.1|m.64418","Eelgrass-Bare",-0.0207055570524688,0.167053799200429,-0.123945442435742,16,0.902902215058001,0.994769849747695,NA,0.00217391304347825,0.00217391304347826,"sp|Q32TF8|EFHC2_DANRE","EFHC2_DANRE","EF-hand domain-containing family member C2","efhc2 zgc:152706","Danio rerio (Zebrafish) (Brachydanio rerio)","0","0","0","PF06565;"
"CHOYP_LOC100377392.1.4|m.4798","Eelgrass-Bare",1.60620776210699,0.884603860406803,1.81573677664977,16,0.0881968896713121,0.826917896950962,NA,0,0,"sp|Q32KL8|TBATA_BOVIN","TBATA_BOVIN","Protein TBATA (Protein SPATIAL) (Stromal protein associated with thymii and lymph node homolog) (Thymus, brain and testes-associated protein)","TBATA SPATIAL","Bos taurus (Bovine)","cell differentiation [GO:0030154]; multicellular organism development [GO:0007275]; spermatogenesis [GO:0007283]","GO:0005829; GO:0007275; GO:0007283; GO:0030154","0","0"
"CHOYP_LOC100377398.1.1|m.44441","Eelgrass-Bare",0.791471981174903,0.535471961793295,1.47808295792793,16,0.158800704103826,0.854358147564395,NA,0.1,0.1,"sp|Q9N285|MTCH2_BOVIN","MTCH2_BOVIN","Mitochondrial carrier homolog 2","MTCH2","Bos taurus (Bovine)","positive regulation of apoptotic process [GO:0043065]; transport [GO:0006810]","GO:0005739; GO:0005743; GO:0006810; GO:0016020; GO:0016021; GO:0043065","0","PF00153;"
"CHOYP_LOC100377412.1.1|m.41404","Eelgrass-Bare",0.196139504060858,0.51582256966984,0.380246068306782,16,0.708763264856239,0.98810540699643,NA,0,0,"sp|Q80Y75|DJB13_MOUSE","DJB13_MOUSE","DnaJ homolog subfamily B member 13 (Testis and spermatogenesis cell-related protein 6) (Testis spermatocyte apoptosis-related gene 6 protein) (Testis spermatogenesis apoptosis-related gene 3 protein) (Testis spermatogenesis apoptosis-related gene 6 protein)","Dnajb13 Tsarg Tsarg3 Tsarg6","Mus musculus (Mouse)","protein folding [GO:0006457]","GO:0005737; GO:0005930; GO:0006457; GO:0031514; GO:0036126","0","PF00226;PF01556;"
"CHOYP_LOC100377460.1.1|m.38781","Eelgrass-Bare",-0.428738735068242,0.514361106978211,-0.833536457659121,16,0.416812745781153,0.942060864972504,NA,0,0,"sp|Q3ZBD3|PHS_BOVIN","PHS_BOVIN","Pterin-4-alpha-carbinolamine dehydratase (PHS) (EC 4.2.1.96) (4-alpha-hydroxy-tetrahydropterin dehydratase) (Dimerization cofactor of hepatocyte nuclear factor 1-alpha) (DCoH) (Dimerization cofactor of HNF1) (Phenylalanine hydroxylase-stimulating protein) (Pterin carbinolamine dehydratase) (PCD)","PCBD1","Bos taurus (Bovine)","protein heterooligomerization [GO:0051291]; protein homotetramerization [GO:0051289]; regulation of transcription, DNA-templated [GO:0006355]; tetrahydrobiopterin biosynthetic process [GO:0006729]; transcription, DNA-templated [GO:0006351]","GO:0004505; GO:0005654; GO:0005737; GO:0006351; GO:0006355; GO:0006729; GO:0008124; GO:0051289; GO:0051291; GO:0070062","0","PF01329;"
"CHOYP_LOC100377682.1.1|m.31441","Eelgrass-Bare",0.407233262215806,0.74024344701309,0.550134234702121,16,0.58982549453432,0.979591620635068,NA,0.05,0.05,"sp|Q8TDX5|ACMSD_HUMAN","ACMSD_HUMAN","2-amino-3-carboxymuconate-6-semialdehyde decarboxylase (EC 4.1.1.45) (Picolinate carboxylase)","ACMSD","Homo sapiens (Human)","picolinic acid biosynthetic process [GO:1905004]; protein oligomerization [GO:0051259]; quinolinate metabolic process [GO:0046874]; regulation of 'de novo' NAD biosynthetic process from tryptophan [GO:1905012]; regulation of quinolinate biosynthetic process [GO:1904984]; tryptophan catabolic process [GO:0006569]","GO:0001760; GO:0005829; GO:0006569; GO:0008270; GO:0016787; GO:0046874; GO:0051259; GO:0070062; GO:1904984; GO:1905004; GO:1905012","PATHWAY: Secondary metabolite metabolism; quinolate metabolism. {ECO:0000305|PubMed:12140278}.","PF04909;"
