Protein,Label,adj.pvalue,accession,interesting,Annotation.x,Species.x,BiologicalProcess.x,GOTerms,C1,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,Evalue,C14,C15,reviewed,Annotation.y,C18,Species.y,C20,BiologicalProcess.y,GOTerm,Pathway,C24,C25,C26
CHOYP_LOC100150876.1.1|m.61100,EelgrassFB-EelgrassSK,0.001227546,sp|Q96NN9|AIFM3_HUMAN,x,Apoptosis-inducing factor 3 (EC 1.-.-.-) (Apoptosis-inducing factor-like protein),Homo sapiens (Human),cell redox homeostasis [GO:0045454]; execution phase of apoptosis [GO:0097194],GO:0005739; GO:0005743; GO:0005783; GO:0016491; GO:0045454; GO:0046872; GO:0050660; GO:0051537; GO:0097194,Q96NN9,sp,AIFM3_HUMAN,46.024,591,301,3,227,812,9,586,0,574,AIFM3_HUMAN,reviewed,Apoptosis-inducing factor 3 (EC 1.-.-.-) (Apoptosis-inducing factor-like protein),AIFM3 AIFL,Homo sapiens (Human),605,cell redox homeostasis [GO:0045454]; execution phase of apoptosis [GO:0097194],GO:0005739; GO:0005743; GO:0005783; GO:0016491; GO:0045454; GO:0046872; GO:0050660; GO:0051537; GO:0097194,0,0,0,PF07992;PF14759;PF00355;
CHOYP_HS12B.10.14|m.59859,EelgrassCI-EelgrassSK,0.064536102,sp|Q96MM6|HS12B_HUMAN,,Heat shock 70 kDa protein 12B,Homo sapiens (Human),0,GO:0005524,Q96MM6,sp,HS12B_HUMAN,30.168,653,380,19,838,1420,37,683,8.77E-75,145,CH10_ORYLA,reviewed,"10 kDa heat shock protein, mitochondrial (Hsp10) (10 kDa chaperonin) (Chaperonin 10) (CPN10)",hspe1 hsp10,Oryzias latipes (Japanese rice fish) (Japanese killifish),99,protein folding [GO:0006457],GO:0005524; GO:0005759; GO:0006457,0,0,cd00320;,PF00166;
CHOYP_HS12B.12.14|m.61908,BareCI-BareFB,0.366383297,sp|O43301|HS12A_HUMAN,,Heat shock 70 kDa protein 12A,Homo sapiens (Human),0,GO:0005524; GO:0070062,O43301,sp,HS12A_HUMAN,33.904,643,363,15,30,617,38,673,7.42E-115,254,HS12B_MOUSE,reviewed,Heat shock 70 kDa protein 12B,Hspa12b,Mus musculus (Mouse),685,0,GO:0005524,0,0,0,0
CHOYP_HS12B.9.14|m.56388,EelgrassSK-EelgrassWB,0.001130808,sp|O43301|HS12A_HUMAN,,Heat shock 70 kDa protein 12A,Homo sapiens (Human),0,GO:0005524; GO:0070062,O43301,sp,HS12A_HUMAN,29.36,453,254,14,811,1203,9,455,8.08E-42,571,CPNE3_HUMAN,reviewed,Copine-3 (Copine III),CPNE3 CPN3 KIAA0636,Homo sapiens (Human),537,cellular response to calcium ion [GO:0071277]; cellular response to growth factor stimulus [GO:0071363]; ERBB2 signaling pathway [GO:0038128]; glycerophospholipid biosynthetic process [GO:0046474]; lipid metabolic process [GO:0006629]; positive regulation of cell migration [GO:0030335]; vesicle-mediated transport [GO:0016192],GO:0004674; GO:0005215; GO:0005544; GO:0005634; GO:0005737; GO:0005829; GO:0005886; GO:0005925; GO:0006629; GO:0016192; GO:0030054; GO:0030335; GO:0030971; GO:0038128; GO:0044822; GO:0046474; GO:0048306; GO:0070062; GO:0071277; GO:0071363,0,0,0,PF00168;PF07002;
CHOYP_HS74L.1.1|m.24610,BareFB-BareWB,0.333274775,sp|O95757|HS74L_HUMAN,,Heat shock 70 kDa protein 4L (Heat shock 70-related protein APG-1) (Osmotic stress protein 94),Homo sapiens (Human),protein folding [GO:0006457]; response to unfolded protein [GO:0006986],GO:0005524; GO:0005634; GO:0005737; GO:0005829; GO:0006457; GO:0006986,O95757,sp,HS74L_HUMAN,51.001,849,390,10,1,833,1,839,0,266,HS12B_HUMAN,reviewed,Heat shock 70 kDa protein 12B,HSPA12B C20orf60,Homo sapiens (Human),686,0,GO:0005524,0,0,0,0
CHOYP_HS90A.1.3|m.7724,BareFB-BarePG,0.049751429,sp|P04809|HSP83_DROPS,,Heat shock protein 83 (HSP 82),Drosophila pseudoobscura pseudoobscura (Fruit fly),protein folding [GO:0006457]; response to stress [GO:0006950],GO:0005524; GO:0005737; GO:0006457; GO:0006950,P04809,sp,HSP83_DROPS,80.184,434,84,1,18,451,269,700,0,1090,NDUS1_MOUSE,reviewed,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial (EC 1.6.5.3) (EC 1.6.99.3) (Complex I-75kD) (CI-75kD)",Ndufs1,Mus musculus (Mouse),727,apoptotic mitochondrial changes [GO:0008637]; ATP metabolic process [GO:0046034]; ATP synthesis coupled electron transport [GO:0042773]; cellular respiration [GO:0045333]; reactive oxygen species metabolic process [GO:0072593]; regulation of mitochondrial membrane potential [GO:0051881],GO:0005739; GO:0005747; GO:0005758; GO:0008137; GO:0008637; GO:0009055; GO:0042773; GO:0043209; GO:0045333; GO:0046034; GO:0046872; GO:0051537; GO:0051539; GO:0051881; GO:0072593,0,0,cd00207;,PF00384;PF10588;PF09326;
CHOYP_HSP74.1.1|m.13095,BareFB-BareSK,0.096218556,sp|P41827|HSP74_ANOAL,,Heat shock protein 70 B2,Anopheles albimanus (New world malaria mosquito),0,GO:0005524,P41827,sp,HSP74_ANOAL,75.824,637,145,2,7,634,4,640,0,1023,HSP74_ANOAL,reviewed,Heat shock protein 70 B2,HSP70B2 HSP11-C-L,Anopheles albimanus (New world malaria mosquito),640,0,GO:0005524,0,0,0,PF00012;
CHOYP_HSP7C.1.2|m.22077,BareFB-BareWB,0.503911411,sp|P63018|HSP7C_RAT,,Heat shock cognate 71 kDa protein (Heat shock 70 kDa protein 8),Rattus norvegicus (Rat),"aging [GO:0007568]; axo-dendritic transport [GO:0008088]; cellular protein complex disassembly [GO:0043624]; cellular response to cadmium ion [GO:0071276]; cellular response to heat [GO:0034605]; cerebellum development [GO:0021549]; chaperone-mediated autophagy [GO:0061684]; chaperone-mediated autophagy translocation complex disassembly [GO:1904764]; chaperone-mediated protein folding [GO:0061077]; chaperone mediated protein folding requiring cofactor [GO:0051085]; chaperone-mediated protein transport involved in chaperone-mediated autophagy [GO:0061741]; clathrin coat disassembly [GO:0072318]; estrous cycle [GO:0044849]; forebrain development [GO:0030900]; G1/S transition of mitotic cell cycle [GO:0000082]; intracellular protein transmembrane import [GO:0044743]; kidney development [GO:0001822]; mRNA processing [GO:0006397]; negative regulation of cardiac muscle cell apoptotic process [GO:0010667]; negative regulation of hydrogen peroxide-induced cell death [GO:1903206]; negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of catalytic activity [GO:0043085]; positive regulation of gene expression [GO:0010628]; positive regulation of lysosomal membrane permeability [GO:0097214]; positive regulation of phagocytosis [GO:0050766]; positive regulation of protein refolding [GO:1904592]; positive regulation of proteolysis [GO:0045862]; positive regulation of T cell mediated cytotoxicity [GO:0001916]; protein autophosphorylation [GO:0046777]; protein import into nucleus [GO:0006606]; protein refolding [GO:0042026]; regulation of protein complex stability [GO:0061635]; response to activity [GO:0014823]; response to drug [GO:0042493]; response to estradiol [GO:0032355]; response to ethanol [GO:0045471]; response to heat [GO:0009408]; response to nickel cation [GO:0010045]; response to odorant [GO:1990834]; response to progesterone [GO:0032570]; response to starvation [GO:0042594]; RNA splicing [GO:0008380]; sensory perception of smell [GO:0007608]; skeletal muscle tissue development [GO:0007519]; slow axonal transport [GO:1990832]; transcription, DNA-templated [GO:0006351]",GO:0000082; GO:0000974; GO:0001822; GO:0001916; GO:0001917; GO:0003723; GO:0005102; GO:0005524; GO:0005634; GO:0005681; GO:0005730; GO:0005737; GO:0005764; GO:0005765; GO:0005776; GO:0005829; GO:0005874; GO:0005882; GO:0005886; GO:0006351; GO:0006397; GO:0006606; GO:0007519; GO:0007568; GO:0007608; GO:0008021; GO:0008088; GO:0008134; GO:0008380; GO:0009408; GO:0009986; GO:0010045; GO:0010628; GO:0010667; GO:0014069; GO:0014823; GO:0016887; GO:0019899; GO:0021549; GO:0030424; GO:0030425; GO:0030529; GO:0030900; GO:0031686; GO:0032279; GO:0032355; GO:0032570; GO:0034605; GO:0042026; GO:0042277; GO:0042470; GO:0042493; GO:0042594; GO:0042623; GO:0043005; GO:0043025; GO:0043085; GO:0043195; GO:0043197; GO:0043198; GO:0043204; GO:0043234; GO:0043531; GO:0043624; GO:0044743; GO:0044849; GO:0045121; GO:0045471; GO:0045862; GO:0045892; GO:0046777; GO:0048471; GO:0050766; GO:0051082; GO:0051085; GO:0061077; GO:0061635; GO:0061684; GO:0061741; GO:0070062; GO:0071276; GO:0072318; GO:0097214; GO:1903206; GO:1904592; GO:1904593; GO:1904764; GO:1990124; GO:1990832; GO:1990833; GO:1990834; GO:1990836,P63018,sp,HSP7C_RAT,80.13,614,121,1,1,614,1,613,0,301,CP3A9_RAT,reviewed,Cytochrome P450 3A9 (EC 1.14.14.1) (3AH15) (CYPIIIA9) (Cytochrome P450 olfactive 3) (Cytochrome P450-OLF3),Cyp3a9 Cyp3a13,Rattus norvegicus (Rat),503,response to stimulus [GO:0050896]; sensory perception of smell [GO:0007608],GO:0004497; GO:0005506; GO:0005789; GO:0007608; GO:0008395; GO:0020037; GO:0031090; GO:0050896; GO:0070330,0,0,0,PF00067;
CHOYP_HSP7E.1.1|m.13730,EelgrassSK-EelgrassWB,0.518407368,sp|Q2YDD0|HSP7E_BOVIN,,Heat shock 70 kDa protein 14,Bos taurus (Bovine),0,GO:0005524; GO:0005829; GO:0005840; GO:0016020,Q2YDD0,sp,HSP7E_BOVIN,42.913,515,279,5,9,514,1,509,1.01E-140,544,CPNE3_HUMAN,reviewed,Copine-3 (Copine III),CPNE3 CPN3 KIAA0636,Homo sapiens (Human),537,cellular response to calcium ion [GO:0071277]; cellular response to growth factor stimulus [GO:0071363]; ERBB2 signaling pathway [GO:0038128]; glycerophospholipid biosynthetic process [GO:0046474]; lipid metabolic process [GO:0006629]; positive regulation of cell migration [GO:0030335]; vesicle-mediated transport [GO:0016192],GO:0004674; GO:0005215; GO:0005544; GO:0005634; GO:0005737; GO:0005829; GO:0005886; GO:0005925; GO:0006629; GO:0016192; GO:0030054; GO:0030335; GO:0030971; GO:0038128; GO:0044822; GO:0046474; GO:0048306; GO:0070062; GO:0071277; GO:0071363,0,0,0,PF00168;PF07002;
CHOYP_HSPA12A.15.27|m.45635,BareFB-BareWB,0.086297744,sp|Q96MM6|HS12B_HUMAN,,Heat shock 70 kDa protein 12B,Homo sapiens (Human),0,GO:0005524,Q96MM6,sp,HS12B_HUMAN,30.255,628,363,17,888,1444,61,684,2.19E-74,198,HS12A_HUMAN,reviewed,Heat shock 70 kDa protein 12A,HSPA12A KIAA0417,Homo sapiens (Human),675,0,GO:0005524; GO:0070062,0,0,0,0
CHOYP_ISCW_ISCW001592.2.2|m.39325,EelgrassSK-EelgrassWB,0.301122698,sp|Q6UW02|CP20A_HUMAN,,Cytochrome P450 20A1 (EC 1.14.-.-),Homo sapiens (Human),0,GO:0004497; GO:0005506; GO:0016020; GO:0016021; GO:0016705; GO:0020037,Q6UW02,sp,CP20A_HUMAN,36.211,475,283,7,28,496,1,461,1.69E-98,409,L2CC_DROME,reviewed,Protein l(2)37Cc,l(2)37Cc CG10691,Drosophila melanogaster (Fruit fly),276,cellular response to hypoxia [GO:0071456]; multicellular organism development [GO:0007275]; sensory perception of pain [GO:0019233],GO:0005737; GO:0005739; GO:0005811; GO:0005875; GO:0007275; GO:0016020; GO:0019233; GO:0071456,0,0,cd03401;,PF01145;
CHOYP_ISCW_ISCW011341.1.1|m.18728,EelgrassSK-EelgrassWB,0.317801816,sp|B4NYV0|SRRT_DROYA,,Serrate RNA effector molecule homolog (Arsenite-resistance protein 2 homolog),Drosophila yakuba (Fruit fly),primary miRNA processing [GO:0031053]; RNA interference [GO:0016246],GO:0005654; GO:0016246; GO:0031053,B4NYV0,sp,SRRT_DROYA,43.902,902,379,23,39,849,1,866,0,738,TRXR3_MOUSE,reviewed,Thioredoxin reductase 3 (EC 1.8.1.9) (Thioredoxin and glutathione reductase) (Thioredoxin reductase TR2),Txnrd3 Tgr Trxr3,Mus musculus (Mouse),652,cell differentiation [GO:0030154]; cell redox homeostasis [GO:0045454]; glutathione metabolic process [GO:0006749]; multicellular organism development [GO:0007275]; spermatogenesis [GO:0007283],GO:0004791; GO:0005634; GO:0005783; GO:0006749; GO:0007275; GO:0007283; GO:0009055; GO:0015035; GO:0030154; GO:0045454; GO:0050660,0,0,0,PF00462;PF07992;PF02852;
CHOYP_LOC100024935.1.1|m.2615,BareFB-BareSK,0.574446984,sp|Q95108|THIOM_BOVIN,,"Thioredoxin, mitochondrial (MTRX) (Mt-Trx) (Thioredoxin-2)",Bos taurus (Bovine),cell redox homeostasis [GO:0045454]; cellular response to oxidative stress [GO:0034599]; glycerol ether metabolic process [GO:0006662]; oxidation-reduction process [GO:0055114]; protein folding [GO:0006457]; sulfate assimilation [GO:0000103],GO:0000103; GO:0005730; GO:0005737; GO:0005739; GO:0006457; GO:0006662; GO:0015035; GO:0016671; GO:0034599; GO:0045454; GO:0055114,Q95108,sp,THIOM_BOVIN,44.604,139,75,1,32,170,29,165,6.23E-43,71.6,PLCL_MYTGA,reviewed,Perlucin-like protein,0,Mytilus galloprovincialis (Mediterranean mussel),156,0,GO:0005576; GO:0030246,0,0,0,PF00059;
CHOYP_LOC100119577.1.1|m.47861,EelgrassFB-EelgrassWB,0.60172914,sp|Q60676|PPP5_MOUSE,,Serine/threonine-protein phosphatase 5 (PP5) (EC 3.1.3.16) (Protein phosphatase T) (PPT),Mus musculus (Mouse),cellular response to cadmium ion [GO:0071276]; cellular response to hydrogen peroxide [GO:0070301]; histone dephosphorylation [GO:0016576]; negative regulation of neuron death [GO:1901215]; negative regulation of protein phosphorylation [GO:0001933]; positive regulation of glucocorticoid receptor signaling pathway [GO:2000324]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; protein heterooligomerization [GO:0051291]; response to lead ion [GO:0010288]; response to morphine [GO:0043278],GO:0001933; GO:0003723; GO:0004721; GO:0004871; GO:0005524; GO:0005654; GO:0005737; GO:0005829; GO:0005886; GO:0010288; GO:0016576; GO:0042802; GO:0043123; GO:0043204; GO:0043231; GO:0043234; GO:0043278; GO:0043531; GO:0046872; GO:0051291; GO:0070301; GO:0071276; GO:1901215; GO:1990635; GO:2000324,Q60676,sp,PPP5_MOUSE,63.636,495,180,0,5,499,2,496,0,73.2,PLCL_MYTGA,reviewed,Perlucin-like protein,0,Mytilus galloprovincialis (Mediterranean mussel),156,0,GO:0005576; GO:0030246,0,0,0,PF00059;
CHOYP_LOC100180855.2.4|m.46097,BareCI-BarePG,0.238764411,sp|Q8LGG8|USPAL_ARATH,,Universal stress protein A-like protein,Arabidopsis thaliana (Mouse-ear cress),response to stress [GO:0006950],GO:0005886; GO:0006950; GO:0016208,Q8LGG8,sp,USPAL_ARATH,28.261,138,87,5,14,141,27,162,2.22E-11,1064,LONM_MOUSE,reviewed,"Lon protease homolog, mitochondrial (EC 3.4.21.-) (Lon protease-like protein) (LONP) (Mitochondrial ATP-dependent protease Lon) (Serine protease 15)",Lonp1 Prss15,Mus musculus (Mouse),949,aging [GO:0007568]; cellular response to oxidative stress [GO:0034599]; chaperone-mediated protein complex assembly [GO:0051131]; misfolded or incompletely synthesized protein catabolic process [GO:0006515]; mitochondrion organization [GO:0007005]; oxidation-dependent protein catabolic process [GO:0070407]; protein homooligomerization [GO:0051260]; proteolysis [GO:0006508]; proteolysis involved in cellular protein catabolic process [GO:0051603]; regulation of mitochondrial DNA replication [GO:0090296]; response to aluminum ion [GO:0010044]; response to hormone [GO:0009725]; response to hypoxia [GO:0001666],GO:0001666; GO:0003697; GO:0003727; GO:0004176; GO:0004252; GO:0005524; GO:0005634; GO:0005654; GO:0005737; GO:0005739; GO:0005759; GO:0006508; GO:0006515; GO:0007005; GO:0007568; GO:0009725; GO:0010044; GO:0016020; GO:0016887; GO:0034599; GO:0042645; GO:0043531; GO:0043565; GO:0051131; GO:0051260; GO:0051603; GO:0051880; GO:0070182; GO:0070361; GO:0070407; GO:0090296,0,0,0,PF00004;PF05362;PF02190;
CHOYP_LOC100200137.1.1|m.23041,BareSK-EelgrassSK,0.431374697,sp|P19208|HSP7C_CAEBR,,Heat shock 70 kDa protein C,Caenorhabditis briggsae,0,GO:0005524; GO:0005788,P19208,sp,HSP7C_CAEBR,81.027,448,81,2,1,448,218,661,0,139,AEDO_MOUSE,reviewed,2-aminoethanethiol dioxygenase (EC 1.13.11.19) (Cysteamine dioxygenase),Ado Gm237,Mus musculus (Mouse),256,oxidation-reduction process [GO:0055114],GO:0005739; GO:0046872; GO:0047800; GO:0055114,0,0,0,PF07847;
CHOYP_LOC100207121.1.9|m.14550,EelgrassFB-EelgrassWB,0.390185,sp|Q8K0U4|HS12A_MOUSE,,Heat shock 70 kDa protein 12A,Mus musculus (Mouse),0,GO:0005524; GO:0070062,Q8K0U4,sp,HS12A_MOUSE,32.612,647,365,19,24,612,40,673,1.36E-100,179,GLRX5_MOUSE,reviewed,"Glutaredoxin-related protein 5, mitochondrial (Monothiol glutaredoxin-5)",Glrx5,Mus musculus (Mouse),152,cell redox homeostasis [GO:0045454]; hemopoiesis [GO:0030097],GO:0005634; GO:0005739; GO:0005759; GO:0009055; GO:0015035; GO:0030097; GO:0030425; GO:0043025; GO:0045454; GO:0046872; GO:0051537,0,0,cd03028;,PF00462;
CHOYP_LOC100207121.5.9|m.48175,EelgrassCI-EelgrassFB,0,sp|Q96MM6|HS12B_HUMAN,,Heat shock 70 kDa protein 12B,Homo sapiens (Human),0,GO:0005524,Q96MM6,sp,HS12B_HUMAN,28.436,633,380,14,815,1383,61,684,6.13E-76,581,GSHR_MOUSE,reviewed,"Glutathione reductase, mitochondrial (GR) (GRase) (EC 1.8.1.7)",Gsr Gr1,Mus musculus (Mouse),500,cell redox homeostasis [GO:0045454]; glutathione metabolic process [GO:0006749],GO:0004362; GO:0005739; GO:0006749; GO:0009897; GO:0045454; GO:0050660; GO:0050661; GO:0070062,0,0,0,PF07992;PF02852;
CHOYP_LOC100339607.1.1|m.59202,EelgrassCI-EelgrassSK,0.135018463,sp|P86854|PLCL_MYTGA,,Perlucin-like protein,Mytilus galloprovincialis (Mediterranean mussel),0,GO:0005576; GO:0030246,P86854,sp,PLCL_MYTGA,31.25,112,76,1,19,129,12,123,4.41E-16,396,MRP4_HUMAN,reviewed,Multidrug resistance-associated protein 4 (ATP-binding cassette sub-family C member 4) (MRP/cMOAT-related ABC transporter) (Multi-specific organic anion transporter B) (MOAT-B),ABCC4 MRP4,Homo sapiens (Human),1325,cilium assembly [GO:0042384]; platelet degranulation [GO:0002576]; prostaglandin secretion [GO:0032310]; transmembrane transport [GO:0055085],GO:0002576; GO:0005524; GO:0005886; GO:0015662; GO:0016020; GO:0016021; GO:0016323; GO:0016404; GO:0031088; GO:0032310; GO:0042384; GO:0043225; GO:0055085,0,0,0,PF00664;PF00005;
CHOYP_LOC100366482.1.1|m.9777,EelgrassCI-EelgrassSK,0,sp|Q8T773|MDH1B_BRAFL,,Putative malate dehydrogenase 1B (EC 1.1.1.-),Branchiostoma floridae (Florida lancelet) (Amphioxus),carbohydrate metabolic process [GO:0005975]; cell redox homeostasis [GO:0045454]; malate metabolic process [GO:0006108]; tricarboxylic acid cycle [GO:0006099],GO:0005623; GO:0005975; GO:0006099; GO:0006108; GO:0009055; GO:0015035; GO:0016615; GO:0016616; GO:0045454,Q8T773,sp,MDH1B_BRAFL,46.996,466,245,2,27,492,1,464,7.03E-161,216,DJ11_CAEEL,reviewed,Glutathione-independent glyoxalase DJR-1.1 (EC 4.2.1.130) (Protein DJ-1 homolog 1),djr-1.1 B0432.2,Caenorhabditis elegans,187,cellular response to glyoxal [GO:0036471]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to methylglyoxal [GO:0097238]; glycolate biosynthetic process [GO:0046295]; glyoxal catabolic process [GO:1903190]; methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione [GO:0019243]; negative regulation of neuron death [GO:1901215]; protein deglycosylation [GO:0006517]; protein repair [GO:0030091]; regulation of transcription from RNA polymerase II promoter [GO:0006357]; response to toxic substance [GO:0009636],GO:0003713; GO:0005634; GO:0005737; GO:0005829; GO:0006357; GO:0006517; GO:0009636; GO:0019172; GO:0019243; GO:0030091; GO:0036471; GO:0046295; GO:0070301; GO:0097238; GO:1901215; GO:1903190; GO:1990422,0,0,0,PF01965;
CHOYP_LOC100368486.1.1|m.18263,EelgrassPG-EelgrassSK,0.259827438,sp|O95433|AHSA1_HUMAN,,Activator of 90 kDa heat shock protein ATPase homolog 1 (AHA1) (p38),Homo sapiens (Human),response to stress [GO:0006950],GO:0001671; GO:0005737; GO:0005783; GO:0005829; GO:0005913; GO:0006950; GO:0051087; GO:0070062; GO:0098641,O95433,sp,AHSA1_HUMAN,44.058,345,186,3,1,345,1,338,1.20E-106,317,HS12A_MOUSE,reviewed,Heat shock 70 kDa protein 12A,Hspa12a Kiaa0417,Mus musculus (Mouse),675,0,GO:0005524; GO:0070062,0,0,0,0
CHOYP_LOC100368695.1.1|m.26746,EelgrassCI-EelgrassFB,0.121448714,sp|O43301|HS12A_HUMAN,,Heat shock 70 kDa protein 12A,Homo sapiens (Human),0,GO:0005524; GO:0070062,O43301,sp,HS12A_HUMAN,26.248,621,389,18,886,1442,58,673,9.26E-52,48.9,SODE_MOUSE,reviewed,Extracellular superoxide dismutase [Cu-Zn] (EC-SOD) (EC 1.15.1.1),Sod3,Mus musculus (Mouse),251,response to copper ion [GO:0046688]; response to hypoxia [GO:0001666]; response to reactive oxygen species [GO:0000302],GO:0000302; GO:0001666; GO:0004784; GO:0005507; GO:0005615; GO:0005634; GO:0005796; GO:0005802; GO:0008270; GO:0031012; GO:0046688; GO:0070062,0,0,cd00305;,PF00080;
CHOYP_LOC100373694.1.1|m.11753,BareFB-BareWB,0.013079725,sp|P0CB97|NDUS8_PONAB,,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial (EC 1.6.5.3) (EC 1.6.99.3) (Complex I-23kD) (CI-23kD) (NADH-ubiquinone oxidoreductase 23 kDa subunit)",Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii),mitochondrial respiratory chain complex I assembly [GO:0032981]; response to oxidative stress [GO:0006979],GO:0005739; GO:0005747; GO:0006979; GO:0008137; GO:0032981; GO:0046872; GO:0051539,P0CB97,sp,NDUS8_PONAB,76.882,186,43,0,38,223,25,210,1.25E-103,694,NDUS2_RAT,reviewed,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial (EC 1.6.5.3) (EC 1.6.99.3) (Complex I-49kD) (CI-49kD) (NADH-ubiquinone oxidoreductase 49 kDa subunit)",Ndufs2,Rattus norvegicus (Rat),463,response to oxidative stress [GO:0006979],GO:0005654; GO:0005747; GO:0006979; GO:0008137; GO:0046872; GO:0048038; GO:0051287; GO:0051539,0,0,0,PF00346;
CHOYP_LOC100374651.1.4|m.28869,BareFB-BareWB,0,sp|Q96MM6|HS12B_HUMAN,,Heat shock 70 kDa protein 12B,Homo sapiens (Human),0,GO:0005524,Q96MM6,sp,HS12B_HUMAN,29.352,586,332,16,15,532,101,672,1.13E-79,305,HS12B_MOUSE,reviewed,Heat shock 70 kDa protein 12B,Hspa12b,Mus musculus (Mouse),685,0,GO:0005524,0,0,0,0
CHOYP_LOC100533316.2.2|m.47773,EelgrassFB-EelgrassSK,0.212659496,sp|Q8K0U4|HS12A_MOUSE,,Heat shock 70 kDa protein 12A,Mus musculus (Mouse),0,GO:0005524; GO:0070062,Q8K0U4,sp,HS12A_MOUSE,34.489,519,284,10,6,470,158,674,5.94E-100,271,HS12B_MOUSE,reviewed,Heat shock 70 kDa protein 12B,Hspa12b,Mus musculus (Mouse),685,0,GO:0005524,0,0,0,0
CHOYP_LOC100561262.1.1|m.16846,EelgrassCI-EelgrassSK,0.195933531,sp|P47791|GSHR_MOUSE,,"Glutathione reductase, mitochondrial (GR) (GRase) (EC 1.8.1.7)",Mus musculus (Mouse),cell redox homeostasis [GO:0045454]; glutathione metabolic process [GO:0006749],GO:0004362; GO:0005739; GO:0006749; GO:0009897; GO:0045454; GO:0050660; GO:0050661; GO:0070062,P47791,sp,GSHR_MOUSE,62.931,464,157,4,13,462,38,500,0,61.6,USPAL_ARATH,reviewed,Universal stress protein A-like protein,At3g01520 F4P13.7,Arabidopsis thaliana (Mouse-ear cress),175,response to stress [GO:0006950],GO:0005886; GO:0006950; GO:0016208,0,0,0,PF00582;
CHOYP_LOC100633041.1.1|m.35428,EelgrassCI-EelgrassWB,0.045966359,sp|Q13423|NNTM_HUMAN,,"NAD(P) transhydrogenase, mitochondrial (EC 1.6.1.2) (Nicotinamide nucleotide transhydrogenase) (Pyridine nucleotide transhydrogenase)",Homo sapiens (Human),cell redox homeostasis [GO:0045454]; NADPH regeneration [GO:0006740]; oxidation-reduction process [GO:0055114]; proton transport [GO:0015992]; reactive oxygen species metabolic process [GO:0072593]; tricarboxylic acid cycle [GO:0006099],GO:0003957; GO:0005739; GO:0005743; GO:0005746; GO:0006099; GO:0006740; GO:0008746; GO:0008750; GO:0015992; GO:0016020; GO:0016021; GO:0045454; GO:0050661; GO:0051287; GO:0055114; GO:0072593,Q13423,sp,NNTM_HUMAN,64.576,1084,352,10,10,1066,6,1084,0,60.1,EHD1_ARATH,reviewed,EH domain-containing protein 1 (AtEHD1) (EC 3.6.5.2),EHD1 At3g20290 MQC12.3,Arabidopsis thaliana (Mouse-ear cress),545,endocytic recycling [GO:0032456]; endocytosis [GO:0006897]; hyperosmotic salinity response [GO:0042538]; protein homooligomerization [GO:0051260],GO:0005509; GO:0005525; GO:0005737; GO:0005768; GO:0005886; GO:0006897; GO:0009506; GO:0010008; GO:0016020; GO:0016787; GO:0032456; GO:0042538; GO:0043231; GO:0051260,0,0,0,PF00350;PF12763;PF16880;
CHOYP_LOC101416772.1.1|m.30815,EelgrassCI-EelgrassSK,0.077765825,sp|Q9W6X3|CH10_ORYLA,,"10 kDa heat shock protein, mitochondrial (Hsp10) (10 kDa chaperonin) (Chaperonin 10) (CPN10)",Oryzias latipes (Japanese rice fish) (Japanese killifish),protein folding [GO:0006457],GO:0005524; GO:0005759; GO:0006457,Q9W6X3,sp,CH10_ORYLA,72.917,96,26,0,38,133,2,97,4.12E-45,318,AHSA1_HUMAN,reviewed,Activator of 90 kDa heat shock protein ATPase homolog 1 (AHA1) (p38),AHSA1 C14orf3 HSPC322,Homo sapiens (Human),338,response to stress [GO:0006950],GO:0001671; GO:0005737; GO:0005783; GO:0005829; GO:0005913; GO:0006950; GO:0051087; GO:0070062; GO:0098641,0,0,0,PF09229;PF08327;
